track_id,artist_name,track_title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400
4B0JvthVoAAuygILe3n4Bs,Justin Bieber,What Do You Mean?,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,205680
3Du2K5dLzmduCNp6uwuaL0,Demi Lovato,Sorry Not Sorry,0.702,0.635,11,-6.917,0,0.265,0.0223,0.0,0.283,0.873,144.004,203760
6D60klaHqbCl9ySc8VcRss,Kelly Clarkson,Stronger (What Doesn't Kill You),0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044,221947
2dWgzqawzDkBL8QfZw92Ub,Brett Young,In Case You Didn't Know,0.596,0.544,10,-7.294,1,0.0315,0.397,0.0,0.106,0.393,147.976,224853
3IPkbTA8KkdDXyWtGkfFXa,Jordan Davis,Singles You Up,0.635,0.903,7,-3.588,1,0.0323,0.0472,0.0,0.255,0.559,100.08,182693
6zLdXcmvIxnAXpz9sXFnIE,Thomas Rhett,Craving You,0.612,0.841,9,-3.795,0,0.0353,0.000907,0.0,0.37,0.499,104.986,227373
2Nc8Imt04W3ZmcBF8dPQKc,Devin Dawson,All On Me,0.631,0.658,5,-5.313,1,0.0281,0.144,0.0,0.22,0.7,80.996,227573
6znSbsDDFdBZaiucjUGaWy,Luke Bryan,Light It Up,0.596,0.935,6,-2.794,0,0.0855,0.129,0.0,0.108,0.678,130.029,177292
30MM5jWpUmOxtTNd9Ey5LZ,Thomas Rhett,Unforgettable,0.661,0.75,7,-5.497,1,0.0314,0.0303,0.000132,0.0849,0.828,130.077,157080
2n5ZD87XQ2yvIxGjoYbUmZ,Blake Shelton,I'll Name the Dogs,0.47,0.852,4,-5.874,1,0.0933,0.163,2.04e-06,0.281,0.773,168.063,183200
0kdiUZDcLIFw0Buo9r0Q4z,LANCO,Greatest Love Story,0.665,0.621,10,-8.571,1,0.0524,0.38,0.0,0.119,0.632,147.975,222400
6UsoV6X96Rox9mfxoz7SFy,Walker Hayes,You Broke Up with Me,0.846,0.711,0,-7.939,1,0.061,0.496,0.0,0.247,0.883,120.013,197840
1mJMD1VIQ7jWTP9DK2zmY0,Morgan Evans,Kiss Somebody,0.492,0.681,6,-7.038,1,0.075,0.143,0.0,0.199,0.511,178.01,212445
3T6MAweakkNrMYs8jZIWtg,Brett Young,Like I Loved You,0.582,0.568,1,-6.051,1,0.0297,0.196,0.0,0.0841,0.64,76.025,207187
1KTLLe980WR4RLKg74Ud6e,Brett Eldredge,The Long Way,0.488,0.637,10,-7.63,1,0.0401,0.265,0.0,0.106,0.23,88.872,208653
7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,163870
4oeGQb7zAVNRkpjjoNHK5K,Jackie Lee,Getting Over You,0.442,0.784,2,-4.001,1,0.0344,0.0527,0.0,0.0597,0.552,170.139,173187
0OWZFobGSIW9GrSlQ9C5pc,Thomas Rhett,Marry Me,0.333,0.412,3,-8.633,1,0.029,0.0977,0.0,0.113,0.474,85.028,205453
7zVCrzzEJU7u24sbJPXA5W,Kane Brown,What Ifs (feat. Lauren Alaina),0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,188253
3I7krC8kr0gFR7P6vInR1I,Billy Currington,Do I Make You Wanna,0.553,0.747,9,-5.432,1,0.0279,0.106,0.0,0.154,0.521,90.012,234307
5Zx1zVpDJsNgyY3HvNfsfC,Granger Smith,Happens Like That,0.557,0.807,7,-5.428,1,0.0825,0.189,0.0,0.234,0.578,81.045,171493
6OUdBkpAQtKyZ74cKukZ9W,Brett Kissel,We Were That Song,0.618,0.911,9,-3.323,1,0.05,0.216,0.0,0.132,0.501,102.956,200280
7LP4Es66zdY7CyjepqmvAg,Jay Sean,Down,0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,212107
2PpruBYCo4H7WOBJ7Q2EwM,Outkast,Hey Ya!,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213
6WLS56xiRrXjSm9RSdL3zD,Zara Larsson,Never Forget You,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,213428
1MtUq6Wp1eQ8PC6BbPCj8P,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,197933
2vwlzO0Qp8kfEtzTsCXfyE,Miley Cyrus,Wrecking Ball,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,221360
3DmW6y7wTEYHJZlLo1r6XJ,Becky G,Shower,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167
12GEpg2XOPyqk03JZEZnJs,Kygo,It Ain’t Me (with Selena Gomez),0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,220781
5KONnBIQ9LqCxyeSPin26k,Jason Derulo,Trumpets,0.635,0.691,0,-4.862,1,0.258,0.555,0.0,0.097,0.638,82.142,217419
6Iocm6VMu6bVNYwiDoyQFW,Diddy - Dirty Money,Coming Home,0.392,0.839,7,-1.921,1,0.193,0.158,0.0,0.3,0.232,168.001,238693
5knuzwU65gJK7IF5yJsuaW,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,251088
6epn3r7S14KUqlReYr77hA,Justin Bieber,Baby,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,214240
49FYlytm3dAAraYgpoJZux,Rihanna,Umbrella,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,275987
5vlEg2fT4cFWAqU5QptIpQ,Iyaz,Replay,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,182307
1DqdF42leyFIzqNDv9CjId,Taio Cruz,Dynamite,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,203867
4vp2J1l5RD4gMZwGFLfRAu,Black Eyed Peas,I Gotta Feeling,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,289133
67WTwafOMgegV6ABnBQxcE,fun.,Some Nights,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040
5IMtdHjJ1OtkxbGe4zfUxQ,Rupert Holmes,Escape (The Pina Colada Song),0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,276493
1LeWIs2hP2r5yOQnVuYoI5,Marvin Gaye,Ain't No Mountain High Enough,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,151667
5YTtTbqxUzJHD3CpbNHerP,Colbie Caillat,Brighter Than The Sun,0.629,0.793,9,-5.942,1,0.0346,0.00952,1.15e-06,0.218,0.588,95.981,231213
6l7tK5SsMlN8a9ccgeIkpS,Neil Diamond,Sweet Caroline - Single Version,0.556,0.161,11,-13.944,1,0.0297,0.505,4.36e-05,0.28,0.588,126.534,201800
4W4wYHtsrgDiivRASVOINL,The B-52's,Love Shack,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,320680
